date,checked_at,cabin,airline,departure,return,stops_outbound,currency,price
2026-09-13,2026-09-13T18:23:41+08:00,經濟艙,國泰航空,2027-02-02,2027-02-08,1,TWD,17776
2026-09-13,2026-09-13T18:23:41+08:00,經濟艙,星宇航空,2027-02-02,2027-02-08,0,TWD,30684
2026-09-13,2026-09-13T18:23:41+08:00,經濟艙,中華航空,2027-02-02,2027-02-08,0,TWD,30912
2026-09-13,2026-09-13T18:23:41+08:00,經濟艙,長榮航空,2027-02-02,2027-02-08,0,TWD,31007
2026-09-13,2026-09-13T18:23:41+08:00,商務艙,國泰航空,2027-02-02,2027-02-08,1,TWD,34400
2026-09-13,2026-09-13T18:23:41+08:00,商務艙,長榮航空,2027-02-02,2027-02-08,0,TWD,54483
2026-09-13,2026-09-13T18:23:41+08:00,商務艙,中華航空,2027-02-02,2027-02-08,0,TWD,84423
2026-09-13,2026-09-13T18:23:41+08:00,商務艙,中華航空/國泰航空,2027-02-03,2027-02-08,1,TWD,124188
2026-09-14,2026-09-14T09:08:54+08:00,經濟艙,國泰航空,2027-02-02,2027-02-08,1,TWD,16776
2026-09-14,2026-09-14T09:08:54+08:00,經濟艙,星宇航空,2027-02-02,2027-02-08,0,TWD,30684
2026-09-14,2026-09-14T09:08:54+08:00,經濟艙,中華航空,2027-02-02,2027-02-08,0,TWD,30912
2026-09-14,2026-09-14T09:08:54+08:00,經濟艙,長榮航空,2027-02-02,2027-02-08,0,TWD,31007
2026-09-14,2026-09-14T09:08:54+08:00,商務艙,國泰航空,2027-02-02,2027-02-08,1,TWD,34400
2026-09-14,2026-09-14T09:08:54+08:00,商務艙,長榮航空,2027-02-02,2027-02-08,0,TWD,54483
2026-09-14,2026-09-14T09:08:54+08:00,商務艙,中華航空,2027-02-02,2027-02-08,0,TWD,83688
2026-09-14,2026-09-14T09:08:54+08:00,商務艙,中華航空/國泰航空,2027-02-03,2027-02-08,1,TWD,124188
2026-09-15,2026-09-15T09:09:01+08:00,經濟艙,國泰航空,2027-02-02,2027-02-08,1,TWD,16790
2026-09-15,2026-09-15T09:09:01+08:00,經濟艙,星宇航空,2027-02-02,2027-02-08,0,TWD,30690
2026-09-15,2026-09-15T09:09:01+08:00,經濟艙,中華航空,2027-02-02,2027-02-08,0,TWD,30918
2026-09-15,2026-09-15T09:09:01+08:00,經濟艙,長榮航空,2027-02-02,2027-02-08,0,TWD,31013
2026-09-15,2026-09-15T09:09:01+08:00,商務艙,國泰航空,2027-02-02,2027-02-08,1,TWD,34400
2026-09-15,2026-09-15T09:09:01+08:00,商務艙,長榮航空,2027-02-02,2027-02-08,0,TWD,54483
2026-09-15,2026-09-15T09:09:01+08:00,商務艙,中華航空,2027-02-02,2027-02-08,0,TWD,83688
2026-09-16,2026-09-16T09:07:35+08:00,經濟艙,國泰航空,2027-02-02,2027-02-08,1,TWD,17804
2026-09-16,2026-09-16T09:07:35+08:00,經濟艙,星宇航空,2027-02-02,2027-02-08,0,TWD,30699
2026-09-16,2026-09-16T09:07:35+08:00,經濟艙,中華航空,2027-02-02,2027-02-08,0,TWD,30926
2026-09-16,2026-09-16T09:07:35+08:00,經濟艙,長榮航空,2027-02-02,2027-02-08,0,TWD,31022
